alr	Alanine racemase
ybjT	Function unknown
ltaE	L-allo-threonine aldolase
hcr	Hydrid-cluster protein oxidoreductase; FAD and [2Fe-2S] cofactors, NADH as electron donor
hcp	Hydroxylamine reductase, hybrid-cluster [2Fe-2S] protein 
ybjX	Function unknown, homologous to somA (S.t.) and virK (S.f.)
macA	Membrane fusion protein (MFP) for macrolide efflux; subunit of ABC-type, TolC-dependent transporter MacAB; signal anchor; periplasmic
macB	ABC-type macrolide efflux transporter, with MacA and TolC
mdfA	Transmembrane multidrug/chloramphenicol efflux transporter; confers alkaline pH tolerence
ycaM	Putative transporter, function unknown
ycaN	Putative transcriptional regulator, function unknown
ycaO	Function unknown
ycaP	Inner membrane protein, UPF0702 family, function unknown
ycaQ	Function unknown
ycbJ	Function unknown
ycbK	Function unknown, peptidase homolog; probably periplasmic
ycbL	Glyoxalase II homolog, function unknown
ssuC	Putative aliphatic sulphonate transport membrane component; sulfur starvation inducible; Cbl regulon
ssuD	FMNH2-dependent aliphatic sulphonate monooxygenase; sulfur starvation inducible; Cbl regulon
ssuA	Putative aliphatic sulphonate binding protein; sulfur starvation inducible
ssuE	NADP(H):FMN oxidoreductase; sulfur starvation inducible; Cbl regulon
ycbQ	FimA homolog
ycbR	Putative periplasmic pilus chaperone, induced by AI-2 pheromone, function unknown
ycbS	Putative outer membrane fimbrial subunit export usher protein; function unknown
ycbT	 FimA homolog, function unknown
ycbU	Function unknown, FimA homolog
ycbV	Function unknown, FimA homolog
ycbW	Function unknown
ycbX	6-N-hydroxylaminopurine resistance, function unknown
rlmL	23S rRNA m(2)G2445 methyltransferase, SAM-dependent
ycbZ	Function unknown, S16 peptidase family
ymbA	Probable lipoprotein, function unknown; Cys conserved
sxy	Required for expression of CRP-S-dependent promoters
yccS	Inner membrane protein, function unknown
yccT	Function unknown
yccU	Function unknown, oleic-acid induced
hspQ	Heat shock protein involved in degradation of mutant DnaA; hemimethylated oriC DNA-binding protein; mutation suppresses some dnaA(Ts)
rlmI	23S rRNA m(5)C1962 methyltransferase, SAM-dependent
yccX	Acylphosphatase, weak activity
etp	Cryptic phosphotyrosine-protein phosphatase; responsible for dephosphorylating the Etk-P autokinase; required for formation of the O-antigen capsule; silenced by IS1D insertion in promoter region
gfcE	Lipoprotein required for formation of the O-antigen capsule; predicted exopolysaccharide export protein; silenced by IS1D insertion in promoter region
gfcD	Required for formation of the O-antigen capsule; silenced by IS1D insertion in promoter region
gfcC	Required for formation of the O-antigen capsule; silenced by IS1D insertion in promoter region
gfcB	Lipoprotein required for formation of the O-antigen capsule; silenced by IS1D insertion in promoter region
gfcA	Required for formation of the O-antigen capsule; threonine-rich protein; silenced by IS1D insertion in promoter region
ydbL	Function unknown
maoC	Enoyl-CoA hydratase; mutants are reported to be unable to use phenylacetate as a carbon source
paaA	Phenylacetyl-CoA oxygenase, alpha subunit; heteromultimeric diiron oxygenase component; phenylacetic acid degradation
paaC	Phenylacetyl-CoA oxygenase, beta subunit; heteromultimeric diiron oxygenase component; phenylacetic acid degradation
paaD	Phenylacetyl-CoA oxygenase, gamma subunit; heteromultimeric diiron oxygenase component; phenylacetic acid degradation
paaE	Phenylacetyl-CoA oxygenase, NAD(P)H oxidoreductase component; phenylacetic acid degradation
paaF	Phenylacetic acid degradation; mutants are unable to use phenylacetate as a carbon source
paaG	Probable enoyl-CoA hydratase, phenylacetic acid degradation; mutants are unable to use phenylacetate as a carbon source
paaH	3-hydroxybutyryl-CoA dehydrogenase, phenylacetic acid degradation; mutants are unable to use phenylacetate as a carbon source
paaI	Thioesterase in phenylacetic acid degradation operon; functional role unknown; most active with ring-hydroxylated phenylacetyl-coenzyme A thioesters
paaJ	Beta-ketoadipyl-CoA thiolase, phenylacetic acid degradation; mutants are unable to use phenylacetate as a carbon source
paaK	Phenylacetate-coenzyme A ligase, phenylacetic acid degradation
paaX	Repressor for the phenylacetic acid degradation paa operon, aryl-CoA responsive
paaY	Phenylacetic acid degradation, possible acetyltransferase
ynbA	Phosphatidylglycerophosphate synthase homolog, function unknown; inner membrane protein
ynbB	CDP-diglyceride synthase homolog, function unknown; predicted inner membrane protein
ynbC	Predicted bifunctional lysophospholipase and SAM methyltransferase, function unknown
ynbD	Predicted phospholipid or protein phosphatase; predicted inner membrane protein
ydcI	Predicted transcriptional regulator, function unknown
ydcJ	Predicted metalloenzyme, function unknown
ydcK	Function unknown
ydcL	Novel verified lipoprotein, function unknown
insQ	IS609 transposase B
ydcN	Predicted DNA-binding transcriptional regulator, function unknown
ydcO	Inner membrane protein, predicted transporter, function unknown
ydcP	Function unknown, U32 peptidase family
hicB	Antitoxin of HicAB TA pair; C-terminal HTH domain; mutational suppressor of null rpoE lethality
ydcR	Putative HTH transcriptional regulator with aminotransferase domain; MocR family
ydcS	Polyhydroxybutyrate (PHB) synthase; ABC transporter periplasmic binding protein homolog; upregulated during glucose-limitation
ydcT	Putative ABC transporter ATP-binding protein; function unknown
ydcU	Putative ABC transporter permease protein; function unknown
ydcV	Putative ABC transporter permease protein; function unknown
prr	gamma-Aminobutyraldehyde dehydrogenase (ABALDH); pyrroline dehydrogenase; also active on medium chain aldehydes
ydcX	Required for swarming phenotype, DUF2566 family, function unknown
ydcY	Function unknown
ydcZ	Required for swarming phenotype, inner membrane protein, function unknown
yncA	Predicted acetyltransferase
yncB	Predicted NADP-dependent oxidoreductase, function unknown
mcbR	MqsR-controlled colanic acid and biofilm regulator; represses mcbA
yncD	Putative TonB-dependent outer membrane receptor
yncE	Secreted protein, function unknown
ansP	L-Asparagine permease
yncG	Function unknown, glutathione S-transferase homolog
yncH	Required for swarming phenotype, function unknown
yddH	Function unknown
nhoA	N-hydroxyarylamine O-acetyltransferase
yddJ	Function unknown
yddM	Predicted transcriptional regulator, function unknown
ddpF	D,D-dipeptide permease system, ATP-binding component
ddpD	D,D-dipeptide permease system, ATP-binding component
ddpC	D,D-dipeptide permease system, membrane translocase
ddpB	D,D-dipeptide permease system, membrane translocase
ddpA	D,D-dipeptide permease system, periplasmic dipeptide binding protein
ddpX	D-Ala-D-Ala dipeptidase
dosP	Heme-regulated oxygen sensor, c-di-GMP phosphodiesterase; may have weak cAMP PDE activity; dimeric
dosC	Diguanylate cyclase, binds oxygen
yddW	Novel verified lipoprotein, function unknown; related to glycosyl hydrolases
ydeM	Function unknown, Radical SAM superfamily
ydeN	Function unknown
ydeO	Transcriptional activator for mdtEF; required for acid resistance conferred by EvgA overexpression; AraC family
ydeP	Required for acid resistance conferred by EvgA overexpression; oxidoreductase homolog
ydeQ	Function unknown, FimH homolog
ydeR	Function unknown, FimA homolog
ydeS	Function unknown, FimA homolog
lsrK	Autoinducer-2 (AI-2) kinase; upregulated in biofilms
lsrR	lsrACDBFGE operon regulator for autoinducer-2 (AI-2) uptake; induced by phospho-AI-2
lsrA	Autoinducer 2 (AI-2) import ATP-binding protein; essential for aerobic growth; upregulated in biofilms
lsrC	Autoinducer 2 (AI-2) import system permease protein
lsrD	Autoinducer-2 (AI-2) import system permease protein
lsrB	Autoinducer-2 (AI-2)-binding protein
lsrF	Function unknown, involved in AI-2 catabolism
lsrG	Autoinducer 2-degrading protein; ygiN paralog
tam	Trans-aconitate 2-methyltransferase, SAM-dependent
yneE	Required for swarming phenotype, function unknown
yneF	Predicted diguanylate cyclase, function unknown
yneG	Function unknown
yneH	Glutaminase, l-glutamine catabolism
sad	Succinate semialdehyde dehydrogenase, NAD(P)+-dependent
yneJ	Putative LysR-family transcriptional regulator, function unknown
yneK	Function unknown
ydfH	Predicted DNA-binding transcriptional regulator, function unknown
ydfI	Function unknown
ydfK	Cold shock gene, function unknown, Qin prophage
pinQ	DNA invertase, site-specific recombination, Qin prophage
tfaQ	Phage lambda tail fiber assembly gene homolog, Qin prophage
stfQ	Side-tail fiber protein, Qin prophage
ydfO	Function unknown, Qin prophage
rzpQ	Rz-like equivalent, Qin prophage
arrQ	Phage lambda lysozyme R protein homolog, Qin prophage; function unknown
ydfR	Function unknown, Qin prophage
essQ	Phage lambda S lysis protein homolog, Qin prophage
quuQ	Lambda Q antitermination protein homolog, Qin prophage
ydfU	Function unknown, Qin prophage
ydfV	Function unknown, Qin prophage
gnsB	Multicopy suppressor of secG(Cs) and fabA6(Ts), Qin prophage; overexpression increases unsaturated fatty acid content of phospholipids; gnsA paralog
ydfZ	Binds selenium, function unknown
ynfA	Inner membrane protein, UPF0060 family, function unknown
ynfB	Predicted secreted protein, function unknown
ynfC	Verified lipoprotein, UPF0257 family, function unknown
ynfD	Secreted protein, function unknown
ynfE	Probable selenate reductase, periplasmic
ynfF	S- and N-oxide reductase, A subunit; periplasmic
ynfG	S- and N-oxide reductase, apparent Fe-S binding subunit; required for swarming phenotype
ynfH	S- and N-oxide reductase, membrane bound anchor
dmsD	Redox enzyme maturation protein (REMP) for DmsA; twin-arginine leader-binding protein; binds DmsA and TorA TAT signal peptides; required for anaerobic growth on glycerol-DMSO medium; stimulates growth on glycerol-fumarate
clcB	H(+)/Cl(-) exchange transporter; voltage-gated ClC-type chloride channel; involved in the extreme acid response
ynfK	Predicted dethiobiotin synthase, function unknown
ynfL	Putative LysR-family transcriptional regulator, function unknown; overexpression confers sensitivity to acriflavin and trimethoprim
cusR	Response regulator of the cusCFBA-cusRS divergon; cusS sensor and cusR mediate copper induction
rutG	Predicted pyrimidine permease, pyrimidine nitrogen catabolism
rutF	Gene in rut operon for pyrimidine nitrogen catabolism; putative flavin:NADH reductase
rutE	Predicted nitroreductase, function unknown; pyrimidine nitrogen catabolism
rutD	Gene in rut operon for pyrimidine nitrogen catabolism; putative hydrolase/esterase
rutC	Gene in rut operon for pyrimidine nitrogen catabolism, function unknown
rutB	Gene in rut operon for pyrimidine nitrogen catabolism; isochorismatase homolog
rutA	Gene in rut operon for pyrimidine nitrogen catabolism; predicted luciferase-like monooxygenase
efeO	Inactive acid-inducible low-pH ferrous ion transporter EfeUOB; acid-inducible periplasmic protein
pgaD	Required for biofilm adhesin polysaccharide PGA synthesis
pgaC	Required for biofilm adhesin polysaccharide PGA synthesis; putative polysaccharide polymerase/glycosyltransferase
pgaB	Biofilm adhesin polysaccharide PGA export; lipoprotein; polysaccharide deacetylase activity needed for export
pgaA	Biofilm adhesin polysaccharide PGA export; putative OM protein
ycdT	Diguanylate cyclase, role unknown
ycdU	Predicted inner membrane protein, function unknown
ghrA	Glyoxylate/hydroxypyruvate reductase A; activity higher on glyoxylate than hydroxypyruvate
ycdX	Putative phosphoesterase; structure reveals a trinuclear zinc active site
ycdY	Putative redox enzyme maturation protein (REMP), function unknown; putative TAT signal peptide binding protein and co-factor insertion chaperone; required for swarming phenotype
ycdZ	Inner membrane protein, DUF1097 family, function unknown
ymdA	Function unknown
ymdB	RNase III inhibitor during cold shock
ymdC	Function unknown
opgC	Succinylation of osmoregulated periplasmic glucans (OPGs); membrane protein
cspI	Cold shock protein, Qin prophage; cold shock inducible
mdtH	Multidrug resistance efflux transporter; overexpression resistance to norfloxacin and enoxacin
yceM	Predicted oxidoreductase, function unknown
murJ	Probable peptidoglycan lipid II flippase; required for murein synthesis
sfmA	Function unknown, FimA homolog
sfmC	Periplasmic pilus chaperone
sfmD	Putative outer membrane fimbrial subunit export usher protein; function unknown
sfmH	Function unknown, FimA homolog
iraM	RpoS stabilzer during Mg starvation, anti-RssB factor; anti-adapter protein
ycgE	Repressor of blue light-responsive genes; modulates biofilm with a YmgAB to RcsBCD relay
ycgF	Anti-repressor for YcgE, blue light-responsive; cold shock gene, binds FAD
ycgG	Predicted cyclic-di-GMP phosphodiesterase, function unknown
ycgJ	Function unknown
ycgK	Secreted protein, function unknown
ycgL	Function unknown, low abundance protein
ycgM	Function unknown
ycgN	Function unknown
cvrA	Required for growth at low osmolarity; similar to eukaryotic Na+/H+ exchangers, but not involved in Na+ extrusion; proposed to be involved in the regulation of cell volume
emtA	Membrane-bound lytic transglycosylase E, lipoprotein; involved in limited murein hydrolysis
ldcA	L,D-carboxypeptidase A; cytoplasmic protease that cleaves the terminal D-alanine from cytoplasmic muropeptides
ycgR	Cyclic-di-GMP receptor, regulates motility; mutation suppresses motility defect of hns and yhjH mutants
dhaL	Dihydroxyacetone kinase, PTS-dependent ADP-binding subunit II; DhaK(2):DhaL:DhaM(2) complex
dhaK	Dihydroxyacetone kinase, PTS-dependent, dihydroxyacetone-binding subunit; DhaK(2):DhaL:DhaM(2) complex
dhaR	Transcription activator of the dhaKLM operon
ycgV	Overexpression increases adhesion and biofilm formation; probable adhesin, function unknown
yciS	Inner membrane protein, function unknown
yciT	Global regulator of transcription, DeoR family
mpaA	Murein peptide amidase A; murein tripeptide hydrolysis, cleaves glutamyl-DAP bond
puuP	Putrescine importer
puuA	gamma-Glutamylputrescine synthase, ATP-dependent; putrescine utilization pathway; glutamate-putrescine ligase
puuD	gamma-Glutamyl-GABA hydrolase, putrescine utilization pathway
ycjM	Function unknown, homologous to sucrose phosphorylase
ycjN	Lipoprotein, function unknown; predicted ABC transporter periplasmic binding protein
ycjO	Function unknown, probable ABC transporter permease
ycjP	Function unknown, probable ABC transporter permease
ycjQ	Function unknown, alcohol dehydrogenase homolog
ycjR	Function unknown, sugar isomerase homolog
ycjS	Function unknown, putative oxidoreductase
ycjT	Function unknown, homologous to glycosyl hydrolases
ycjU	beta-Phosphoglucomutase; HAD11
ycjW	Required for swarming phenotype, function unknown
ycjX	Function unknown
ycjY	Predicted serine dipeptidyl peptidase possibly involved in cleavage of murein peptides; no activity on model substrates detected
ycjZ	Required for swarming phenotype, function unknown
ynaI	MscS family inner membrane protein, function unknown
ydgD	Putative periplasmic serine protease; function unknown
mdtI	Multidrug resistance efflux protein, with MdtJ; overexpression resistance to deoxycholate, SDS, nalidixic acid and fosfomycin
mdtJ	Multidrug resistance efflux protein, with MdtI; overexpression resistance to deoxycholate, SDS, nalidixic acid and fosfomycin
tqsA	Pheromone AI-2 transporter; mutants have increased intracellular AI-2 and decreased extracellular AI-2; controls biofilm formation
ydgH	Predicted periplasmic protein, YhcN family, function unknown; contains 3 tandem YhcN domains
ydgI	Predicted arginine/ornithine antiporter
ydgJ	Predicted oxidoreductase; yhhX paralog
ydgK	Inner membrane protein, DUF2569 family, function unknown
rsxA	Required for the reduction of SoxR; inner membrane protein
rsxB	Required for the reduction of SoxR; predicted iron-sulfur protein
rsxC	Electron transport complex protein required for the reduction of SoxR; predicted membrane-associated NADH oxidoreductase
rsxD	Electron transport complex protein required for the reduction of SoxR; predicted membrane protein
rsxG	Required for the reduction of SoxR; putative membrane protein
rsxE	Required for the reduction of SoxR; membrane protein
dtpA	Dipeptide and tripeptide permease A
pdxY	Pyridoxamine kinase
anmK	Anhydro-N-acetylmuramic acid kinase, murein recycling
ydhI	Predicted inner membrane protein; in operon with putative efflux pump YdhJK
ydhJ	Predicted membrane fusion protein (MFP) of YdhJK efflux pump; function unknown
ydhK	Efflux protein family (PET) component of predicted YdhJK efflux pump, function unknown
ydhL	Function unknown
nemR	nem operon repressor, NEM-inactivated
yobD	Inner membrane protein, UPF0266 family, function unknown
ydhO	Predicted peptidase, C40 clan, function unknown
ydhP	Predicted transporter, function unknown; membrane protein
ydhQ	Function unknown
ydhR	Predicted monooxygenase, function unknown; dimeric
ydhS	Function unknown
ydhT	Function unknown, FNR, NarL and NarP regulons
ydhU	Function unknown, FNR, NarL and NarP regulons; homologous to Salmonella PhsC
ydhV	Predicted oxidoreductase, function unknown; FNR, NarL and NarP regulons
ydhW	Function unknown, FNR, NarL and NarP regulons
ydhX	Ferredoxin-like protein, function unknown; FNR, NarL and NarP regulons
ydhY	Ferredoxin-like protein, function unknown; FNR, NarL and NarP regulons
ydhZ	Function unknown
sufE	Binds and stimulates SufS activity; in sufABCDSE operon involved in iron-sulfur center formation of FhuF; homodimeric
sufS	Cysteine desulfurase, stimulated by SufE; selenocysteine lyase
sufD	Complexed with SufC and SufB; in sufABCDSE operon involved in iron-sulfur center formation of FhuF
sufC	ABC-ATPase complexed with SufB and SufD, cytoplasmic; in sufABCDSE operon involved in iron-sulfur center formation of FhuF
sufB	Complexed with SufC and SufD
ydiH	Function unknown
ydiI	Acyl-CoA esterase in vitro
ydiJ	Predicted FAD-linked oxidoreductase, function unknown
ydiK	Inner membrane protein, UPF0118 family; has predicted PurR box
ydiL	Function unknown
ydiM	Inner membrane protein, predicted transporter, function unknown; no overexpression resistances found
ydiN	Predicted transporter, function unknown; inner membrane protein; upregulated in shikimate-producer during carbon starvation
ydiO	Function unknown
ydiP	AraC family transcriptional activator, function unknown
ydiQ	Function unknown
ydiR	Predicted electron transfer flavoprotein, FAD-binding subunit
ydiS	Predicted oxidoreductase with FAD/NAD(P)-binding domain, function unknown
ydiT	Function unknown
ydiU	Function unknown, UPF0061 family
ydiV	Predicted cyclic-di-GMP phosphodiesterase, function unknown; mutation decreases cAMP levels in an sdiA mutant; pheromone AI-1-responsive gene
ydiY	Predicted outer membrane protein, acid-inducible; function unknow
ydiZ	Function unknown
yniA	Function unknown
yniB	Function unknown
yniC	2-deoxyglucose-6-P phosphatase; mutants are hypersensitive to 2-deoxyglucose; overproduction confers 2-deoxyglucose resistance; additional in vitro substrates: mannose-6-P phosphate, 2-deoxyribose-5-P, ribose-5-P, glucose-6-P; HAD1
ydjM	Inner membrane protein, LexA regulated, function unknown
ydjN	Predicted symporter, function unknown
ydjO	Function unknown
cedA	DNA-binding protein that modulates cell division; relieves inhibition of cell division after over-replication of chromosome in dnaAcos mutants
cho	Endonuclease involved in excision repair, cuts 3' of lesion; requires UvrAB
ves	Cold and stress-inducible protein, function unknown
astE	Succinylglutamate desuccinylase, arginine catabolism
astB	Succinylarginine dihydrolase, arginine catabolism
astD	Succinylglutamic semialdehyde dehydrogenase, NAD-dependent; arginine catabolism
astA	Arginine succinyltransferase, arginine catabolism
astC	Succinylornithine transaminase, mutant cannot catabolize arginine, overproduction complements argD mutants; carbon starvation protein
ydjX	Inner membrane protein, TVP38/TMEM64 family, function unknown
ydjY	Probable lipoprotein, function unknown
ydjZ	Inner membrane protein, TVP38/TMEM64 family, function unknown
ynjA	Function unknown
ynjB	Predicted secreted protein, function unknown
ynjC	Predicted inner membrane ABC transporter permease, function unknown
ynjD	Predicted ABC transporter ATP-binding component, function unknown
ynjE	Rhodanese-like protein, function unknown; possible lipoprotein, Cys conserved
ynjF	Inner membrane protein, phosphatidylglycerophosphate synthase homolog, function unknown
nudG	5-hydroxy-CTP pyrophosphohydrolase; also hydrolyzes 2-hydroxy-dATP, 8-hydroxy-dGTP, CTP, dCTP and 5-methyl-dCTP
ynjH	Putative secreted protein, function unknown; DUF1496 family
ynjI	Inner membrane protein, function unknown
yebN	Inner membrane protein, function unknown
flhE	Function unknown, part of flhBAE operon
yebO	Function unknown
ynhG	Murein L,D-transpeptidase, periplasmic
ynhF	Expressed protein, membrane-associated, function unknown
kdgR	Regulator of kdgK, kdgT, eda; possibly regulates several other genes, e.g. yjgK
yebQ	Predicted transporter, function unknown; no overexpression resistances found
yebR	Free methionine-(R)-sulfoxide reductase
yebS	Inner membrane protein, function unknown
yebT	Function unknown; upregulated by beryllium
rsmF	16S rRNA m(5)C1407 methyltransferase, SAM-dependent
yebV	Function unknown
yebW	Function unknown
pphA	Ser/Thr protein phosphatase 1; signals periplasmic protein misfolding; heat shock regulon
yebY	Function unknown
yebZ	Inner membrane protein, function unknown
yobA	Function unknown
yobB	Function unknown
exoX	Exonuclease X; 3'-5' DNase; confers UV sensitivity in recJ, xseAB, sbcB background
yecN	Inner membrane protein, MAPEG family, function unknown
cmoA	tRNA cmo(5)U34 methyltransferase, SAM-dependent
cmoB	tRNA mo(5)U34 methyltransferase, SAM-dependent
flhB	Flagellin export apparatus, substrate specificity protein; determines the order of subunit export
yecR	Novel verified lipoprotein, function unknown
yecS	Predicted amino acid ABC permease, inner membrane protein, function unknown
dcyD	D-cysteine desulfhydrase; needed for protection from, and utilization of, D-cysteine
yedP	Predicted mannosyl-3-phosphoglycerate phosphatase; function unknown; HAD19
yedQ	Predicted diguanylate cyclase, function unknown
yedR	Inner membrane protein, function unknown
yedV	Predicted histidine protein kinase sensor, function unknown
yedW	Putative response regulator, function unknown
hiuH	Hydroxyisourate hydrolase; HIU hydrolase, HIUHase; periplasmic transthyretin-like protein (TLP); EcTRP; tetrameric, metal-binding; unrelated to soybean HIUHase
yedY	Membrane-anchored, periplasmic TMAO, DMSO reductase; activity shown in vitro; Mo-MPT form of the molybdenum cofactor; tungsten cofactor
yedZ	Inner membrane heme subunit for periplasmic YedYZ reductase
zinT	Periplasmic zinc and cadmium binding protein; induced by zinc, cadmium or peroxide; Zur, SoxS and Fur regulated
yodB	Cytochrome b561 homolog, function unknown
yegH	Inner membrane protein, function unknown
yegI	Function unknown
yegJ	Function unknown
yegK	Function unknown
yegL	Function unknown
mdtA	MdtABC-TolC efflux pump, multidrug resistance; membrane fusion protein, signal anchor
mdtB	MdtABC-TolC efflux pump, multidrug resistance; heterodimeric RND-type transporter
mdtC	MdtABC-TolC efflux pump, multidrug resistance; heterodimeric RND-type transporter
yegP	Function unknown, UPF0339 family
yegQ	Function unknown, U32 peptidase family
yegR	Probable lipoprotein, function unknown
fbaB	Fructose 1,6-bisphosphate aldolase, class I
yegT	Predicted nucleoside transporter, pfam03825 family, function unknown
yegU	Predicted ADP-ribosylation enzyme, function unknown
yegV	Predicted sugar/nucleoside kinase, function unknown
yegW	Putatitve transcriptional regulator, function unknown
yegX	Function unknown
thiD	Phosphomethylpyrimidine kinase, HMP-P kinase; hydroxymethylpyrimidine kinase, HMP kinase; bifunctional enzyme
thiM	Hydroxyethylthiazole kinase
rcnR	Transcriptional repressor of rcnA; nickel- and cobalt-responsive
rcnA	Probable nickel and cobalt efflux system; confers increased nickel and cobalt resistance; inner membrane protein
yohN	Function unknown; signal peptide predicted
yeiS	Function unknown, DUF2542 family
yeiT	Dihydropyrimidine dehydrogenase, NADH-dependent, subunit N; pyrimidine metabolism; upregulated in biofilms
lpxT	Lipid A 1-diphosphate synthase; undecaprenyl pyrophosphate:lipid A 1-phosphate phosphotransferase
spr	Mutational suppressor of prc thermosensitivity, lipoprotein
rtn	Overexpression confers resistance to phages lambda and N4
yfaP	Function unknown
yfaQ	Function unknown
yfaT	Function unknown
rhmA	2-keto-3-deoxy-L-rhamnonate aldolase
rhmT	Predicted transporter, function unknown
rhmD	L-rhamnonate dehydratase; RhamD
rhmR	Predicted transcriptional regulator, function unknown
yfaY	Function unknown
yfaZ	Outer membrane protein, possible porin, function unknown
arnB	UDP-4-amino-4-deoxy-L-arabinose synthase; UDP-4"-ketopentose aminotransferase; L-glutamate is the amine donor
arnC	Undecaprenyl phosphate-aminoarabinose synthase
arnA	UDP-glucuronate dehydrogenase and UDP-ara4N formyltransferase
arnD	Undecaprenyl phosphate-aminoarabinose deformylase
arnT	4-amino-4-deoxy-L-arabinose(Ara4N):Lipid A transferase; modifies lipid A phosphates with aminoarabinose and confers resistance to polymyxin B and cationic antimicrobial peptides; glycolipid donor is undecaprenyl phosphate-alpha-L-Ara4N
arnF	Undecaprenyl phosphate-alpha-L-ara4N exporter; flippase ArnEF subunit
yfbK	Probable lipoprotein, function unknown; Cys conserved
yfbL	Peptidase homolog, function unknown
yfbM	Conserved protein, DUF1877 family, function unknown
yfbN	Conserved protein, function unknown
yfbO	Conserved protein, function unknown
yfbP	TPR domain protein, function unknown
yfbQ	Function unknown
yfbR	5'-nucleotidase; only canonical deoxyribonucleosides used as substrates
yfbS	Putative transporter, function unknown
yfbT	Sugar phosphatase; physiological role unknown; in vitro substrates include: fructose-1-P, fructose-6-P, glucose 6-P, ribose-5-P; selectively hydrolyzes beta-D-glucose-1-P; HAD2
yfbU	Cell death gene, function unknown, UPF0304  family
yfbV	Inner membrane protein, UPF0208 family, function unknown
yfcD	Predicted NUDIX hydrolase, function unknown
yfcE	Phosphodiesterase, function unknown; has activity on model substrate bis-pNPP
yfcF	Glutathione S-transferase; hydrogen peroxide resistance
yfcG	GSH-dependent disulfide bond oxidoreductase; weak glutathione S-transferase; GSH-dependent peroxidase; hydrogen peroxide resistance
yfcH	Function unknown
yfcI	Putative transposase, function unknown
yfcJ	Putative transporter, function unknown; membrane protein
mnmC	Bifunctional 5-methylaminomethyl-2-thiouridine forming enzyme; methyltransferase (N-terminal); FAD-dependent demodification enzyme (C-terminal)
yfcL	Function unknown
yfcM	Function unknown
yfcN	Function unknown
yfcO	Putative exported protein, function unknown
yfcP	Function unknown, FimA homolog
yfcQ	Function unknown, FimA homolog
yfcR	Function unknown, FimA homolog
yfcS	Predicted periplasmic pilus chaperone, function unknown
yfcV	Function unknown, FimA homolog
sixA	Phosphohistidine phosphatase affecting ArcB H-D phosphorelay; targets Hpt domain
fadJ	Multifunctional anaerobic fatty acid oxidation complex FadIJ; has 3-hydroxyacyl-CoA dehydrogenase and medium-long-chain-length enoyl-CoA hydratase activities; probable beta-hydroxybutyryl-CoA epimerase and dodecenoyl-CoA-delta-isomerase
fadI	Thiolase of anaerobic fatty acid oxidation complex FadIJ; 3-ketoacyl-CoA thiolase
yfcZ	Function unknown, UPF0381 family
yfdF	Function unknown
gtrA	Bactoprenol-linked glucose translocase, CPS-53/KpLE1 prophage; part of the GtrABS tripartite system for prophage seroconversion of type IV O antigen to serotype 4a
gtrB	Bactoprenol glucosyl transferase, CPS-53/KpLE1 prophage; part of the GtrABS tripartite system for prophage seroconversion of type IV O antigen to serotype 4a
gtrS	Serotype-specific glucosyl transferase, CPS-53/KpLE1 prophage; GtrIV(GtrS); part of the GtrABS tripartite system for prophage seroconversion of type IV O antigen to serotype 4a
yfdK	Function unknown, CPS-53/KpLE1 prophage
yfdP	Function unknown, CPS-53/KpLE1 prophage
yfdQ	Function unknown, CPS-53/KpLE1 prophage
yfdR	Function unknown, CPS-53/KpLE1 prophage
yfdS	Function unknown, CPS-53/KpLE1 prophage
yfdT	Function unknown, CPS-53/KpLE1 prophage
oxc	Predicted oxalyl-CoA decarboxylase, oxalate catabolism
yfdV	Putative permease, function unknown
frc	 Formyl CoA transferase, oxalate catabolism; dimeric
yfdX	Secreted protein, function unknown
yfdY	Function unknown
ypdA	Putative sensor kinase, function unknown
ypdB	Predicted response regulator cognate to YpdA sensor protein; function unknown
ypdC	AraC family transcriptional activator, function unknown
fryA	Putative fructose-like PTS system Enzyme I; also contains Hpr and EIIA domains
ypdE	Aminopeptidase
ypdF	Xaa-Pro aminopeptidase
fryC	Putative fructose-like PTS system Enzyme IIC
fryB	Predicted fructose-like PTS system Enzyme IIB
yfeO	Predicted proton-ion exchange transporter, function unknown
mntH	Mn(2+) transporter, role in bacterial response to reactive oxygen species; also transports Fe(2+), Cd(2+) and other divalent metals
ybfP	Novel verified lipoprotein, function unknown
yfeR	Required for swarming phenotype, function unknown; predicted transcriptional regulator
yfeS	Function unknown
murR	Repressor for murPQ, MurNAc 6-P inducible
murQ	N-acetylmuramic acid 6-phosphate (MurNAc-6-P) etherase; GlcNAc 6-phosphate and D-lactate are primary products
murP	N-acetylmuramic acid permease, EIIBC component, PTS system
yfeW	Weak penicillin binding protein PBP4B, predicted periplasmic esterase
yfeX	Deferrrochelatase, cytoplasmic; binds heme and protoporphyrin IX (PPIX)
yfeY	RpoE-regulated lipoprotein, function unknown
yfeZ	Inner membrane protein, function unknown
ypeA	Predicted acetyltransferase
zipA	Septal ring structural protein for cell division and growth; anchors and stabilizes FtsZ ring
eutK	Ethanolamine catabolic microcompartment shell protein
eutL	Ethanolamine catabolic microcompartment shell protein
intZ	Putative integrase gene, Eut/CPZ-55 prophage
yffL	Function unknown, Eut/CPZ-55 prophage
yffM	Function unknown, Eut/CPZ-55 prophage
yffN	Function unknown, Eut/CPZ-55 prophage
yffO	Function unknown, Eut/CPZ-55 prophage
